EconomicEfficiency,EffectivenessScore,EquipmentAdvantage,KillAssistRatio,StealthKillsRatio,KDA
0.0,1,30.0,0.0,0.0,0.5
0.0,0,160.0,0.0,0.0,0.0
0.0,0,-40.0,0.0,0.0,0.0
0.0,0,-40.0,0.0,0.0,0.0
0.0,0,-40.0,0.0,0.0,0.0
0.0,0,2230.0,0.0,0.0,0.0
0.000563221627710504,4,180.0,2.0,0.0,2.0
0.0,0,-2870.0,0.0,0.0,0.0
0.0006314460113660282,6,1380.0,3.0,0.0,3.0
0.0,0,-920.0,0.0,0.0,0.0
0.0,0,-260.0,0.0,0.0,0.0
0.0,0,140.0,0.0,0.0,0.0
0.0,0,40.0,0.0,0.0,0.0
0.0014265335235378032,2,240.0,1.0,0.0,0.5
0.0,0,-160.0,0.0,0.0,0.0
0.0,0,-60.0,0.0,0.0,0.0
0.0004039587962027873,5,-210.0,1.0,0.0,3.0
0.0003570790930191037,4,440.0,2.0,1.0,2.0
0.00016390755613833797,2,940.0,1.0,1.0,0.5
0.0,0,-1110.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0006381620931716656,6,0.0,3.0,0.3333333333333333,3.0
0.00021272069772388852,2,0.0,1.0,0.0,1.0
0.00021272069772388852,2,0.0,1.0,0.0,0.5
0.0,0,0.0,0.0,0.0,0.0
0.0,0,-10.0,0.0,0.0,0.0
0.00017540782318891423,2,190.0,1.0,0.0,0.5
0.0,0,90.0,0.0,0.0,0.0
0.0,0,590.0,0.0,0.0,0.0
0.00043001505052676843,4,-860.0,2.0,0.0,1.0
0.0,0,1060.0,0.0,0.0,0.0
0.0,1,1060.0,0.0,0.0,0.5
0.00021272069772388852,2,1060.0,1.0,0.0,0.5
0.014925373134328358,6,-3440.0,3.0,0.3333333333333333,3.0
0.0,0,260.0,0.0,0.0,0.0
0.0,0,120.0,0.0,0.0,0.0
0.00024993751562109475,2,-980.0,1.0,0.0,0.5
0.0005453553899291038,6,520.0,3.0,0.0,3.0
0.0,1,-180.0,0.0,0.0,0.5
0.0,0,520.0,0.0,0.0,0.0
0.00021272069772388852,2,540.0,1.0,0.0,0.5
0.00042544139544777704,4,540.0,2.0,0.0,2.0
0.00021272069772388852,2,540.0,1.0,0.0,0.5
0.00021272069772388852,2,540.0,1.0,0.0,1.0
0.0,1,-2160.0,0.0,0.0,0.5
0.0016638935108153079,2,240.0,1.0,0.0,0.5
0.0,0,-160.0,0.0,0.0,0.0
0.0,0,-60.0,0.0,0.0,0.0
0.004975124378109453,2,-160.0,1.0,0.0,1.0
0.001996007984031936,3,140.0,0.5,0.0,1.0
0.0004997501249375312,2,-2160.0,1.0,1.0,1.0
0.0,0,540.0,0.0,0.0,0.0
0.00042544139544777704,5,540.0,1.0,0.0,1.5
0.00021272069772388852,3,540.0,0.5,0.0,2.0
0.0,0,540.0,0.0,0.0,0.0
0.0,0,-160.0,0.0,0.0,0.0
0.0,0,-160.0,0.0,0.0,0.0
0.00018178512997636792,2,440.0,1.0,0.0,0.5
0.0,0,-260.0,0.0,0.0,0.0
0.00019227071716977504,2,140.0,1.0,0.0,1.0
0.0,1,0.0,0.0,0.0,0.5
0.0,1,0.0,0.0,0.0,0.5
0.0,0,0.0,0.0,0.0,0.0
0.0006381620931716656,6,0.0,3.0,0.0,3.0
0.00042544139544777704,4,0.0,2.0,0.0,2.0
0.0,0,1440.0,0.0,0.0,0.0
0.004975124378109453,2,-2310.0,1.0,0.0,1.0
0.004975124378109453,2,-2310.0,1.0,0.0,0.5
0.0,0,490.0,0.0,0.0,0.0
0.00019227071716977504,2,2690.0,1.0,0.0,0.5
0.00042544139544777704,4,700.0,2.0,0.5,2.0
0.0009995002498750624,4,-2000.0,2.0,0.0,2.0
0.0002563445270443476,2,-100.0,1.0,0.0,1.0
0.0,0,700.0,0.0,0.0,0.0
0.0,1,700.0,0.0,0.0,1.0
0.0012484394506866417,2,60.0,1.0,0.0,0.5
0.0,0,660.0,0.0,0.0,0.0
0.0,0,-540.0,0.0,0.0,0.0
0.0,0,60.0,0.0,0.0,0.0
0.0,0,-240.0,0.0,0.0,0.0
0.00021272069772388852,2,0.0,1.0,1.0,1.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,-440.0,0.0,0.0,0.0
0.0,0,160.0,0.0,0.0,0.0
0.00036357025995273584,4,-440.0,2.0,0.0,2.0
0.00016390755613833797,2,160.0,1.0,0.0,1.0
0.00030764497769573913,5,560.0,1.0,0.0,1.5
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,-560.0,0.0,0.0,0.0
0.0,1,40.0,0.0,0.0,1.0
0.00036357025995273584,4,-560.0,2.0,0.0,2.0
0.00032781511227667593,5,40.0,1.0,0.0,3.0
0.0001408252358822701,2,1040.0,1.0,1.0,1.0
0.009950248756218905,4,-1020.0,2.0,0.5,1.0
0.0002563445270443476,2,2680.0,1.0,0.0,1.0
0.0,0,-320.0,0.0,0.0,0.0
0.0,0,-420.0,0.0,0.0,0.0
0.0,1,-920.0,0.0,0.0,0.5
0.0,1,-620.0,0.0,0.0,0.5
0.0,0,-20.0,0.0,0.0,0.0
0.0,0,-620.0,0.0,0.0,0.0
0.000491722668415014,6,-20.0,3.0,0.3333333333333333,3.0
0.00027023375219564923,4,1280.0,2.0,0.0,2.0
0.0,0,160.0,0.0,0.0,0.0
0.0,0,-440.0,0.0,0.0,0.0
0.0,0,160.0,0.0,0.0,0.0
0.0,0,160.0,0.0,0.0,0.0
0.00044434570095534326,4,-40.0,2.0,0.0,1.0
0.00018178512997636792,2,-620.0,1.0,0.0,0.5
0.00016390755613833797,2,-20.0,1.0,0.0,1.0
0.00018178512997636792,2,-620.0,1.0,0.0,1.0
0.00016390755613833797,2,-20.0,1.0,0.0,1.0
0.00013511687609782462,2,1280.0,1.0,0.0,0.5
0.0003447087211306446,2,-1100.0,1.0,0.0,0.5
0.0,0,-100.0,0.0,0.0,0.0
0.0004544421722335833,4,400.0,2.0,0.0,2.0
0.00022722108611679165,2,400.0,1.0,0.0,0.5
0.00022722108611679165,2,400.0,1.0,0.0,1.0
0.00018178512997636792,2,-640.0,1.0,0.0,1.0
0.00016390755613833797,2,-40.0,1.0,0.0,0.5
0.00017853954650955185,2,-540.0,1.0,0.0,0.5
0.0,0,-40.0,0.0,0.0,0.0
0.0,0,1260.0,0.0,0.0,0.0
0.009950248756218905,4,-2160.0,2.0,0.0,2.0
0.0004997501249375312,3,-360.0,0.5,0.0,1.0
0.00021272069772388852,2,2340.0,1.0,0.0,1.0
0.0,0,-2160.0,0.0,0.0,0.0
0.00021272069772388852,2,2340.0,1.0,0.0,1.0
0.0,0,-250.0,0.0,0.0,0.0
0.0,0,250.0,0.0,0.0,0.0
0.0,1,-250.0,0.0,0.0,0.5
0.0,0,300.0,0.0,0.0,0.0
0.00017238407171177384,2,-50.0,1.0,1.0,0.5
0.004975124378109453,2,-540.0,1.0,0.0,0.5
0.000999000999000999,2,260.0,1.0,0.0,1.0
0.0,0,60.0,0.0,0.0,0.0
0.0,0,110.0,0.0,0.0,0.0
0.0,1,110.0,0.0,0.0,0.5
0.0011098779134295228,3,0.0,0.5,0.0,2.0
0.0,0,100.0,0.0,0.0,0.0
0.0022197558268590455,4,0.0,2.0,0.0,1.0
0.0023501762632197414,5,-50.0,1.0,0.0,3.0
0.0,0,-50.0,0.0,0.0,0.0
0.004975124378109453,2,-100.0,1.0,0.0,0.5
0.0,1,0.0,0.0,0.0,0.5
0.014925373134328358,7,-100.0,1.5,0.3333333333333333,4.0
0.0,0,200.0,0.0,0.0,0.0
0.0033222591362126247,2,0.0,1.0,0.0,1.0
0.0002701972439881113,2,470.0,1.0,0.0,0.5
0.00026659557451346307,2,520.0,1.0,0.0,1.0
0.0,0,-1430.0,0.0,0.0,0.0
0.0,0,270.0,0.0,0.0,0.0
0.00029403116730373417,2,170.0,1.0,0.0,0.5
0.0,0,390.0,0.0,0.0,0.0
0.0,0,-160.0,0.0,0.0,0.0
0.00040807998367680065,5,190.0,1.0,0.0,3.0
0.00044434570095534326,4,-210.0,2.0,0.0,2.0
0.00022217285047767163,2,-210.0,1.0,0.0,1.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.00019603999215840032,2,-100.0,1.0,0.0,1.0
0.00039207998431680063,4,-100.0,2.0,0.5,2.0
